type;es;en
init;Hola;Hi	
default;" ";" "
about_me_1;" ";" "	
section_nav;"Menu";"Menu"
section_up;"🔝 Volver arriba";"🔝 Back to top"
section_contact;"📫 Contacto";"📫 Contact"
section_init;"🏠 Inicio";"🏠 Presentation"
section_about_me;"👤 Sobre mí";"👤 About me"
section_project_priv;"📂 Proyectos Privados";"📂 Private Projects"
section_project_pers;"📂 Proyectos Personales";"📂 Personal Projects"
first_resume_1;"Bienvenido a mi portfolio interactivo. Aquí encontrarás algunos de mis proyectos de ciencia de datos tanto personales donde podrás ver el código del mismo como privados realizados en empresa. Además, también podrás ver mis títulos y experienza laboral.

Soy Data Scientist con +2 años de experiencia, trabajando en I+D en proyectos tanto nacionales como internacionales, además de contar con experiencia en la gestión y coordinación de dichos proyectos,orientados al ámbito aeroespacial y ATM (Gestión de tráfico aéreo), energía, turismo, etc. Apasionadode este sector, me gustan los retos y la innovación ya que siempre esuna oportunidad de aprender y crecer.

Por destacar, poseo un B2 en inglés (FCE) y me fue otorgado el segundo premio al mejor TFM por la UCM en el máster en Big Data & Business Analytics, en donde además obtuve una matrícula de honor con una nota de 9.77.";"Welcome to my interactive portfolio. Here you’ll find a selection of my data science projects, both personal (with open-source code available) and private ones developed in a corporate setting. You can also explore my academic background and professional experience.

I’m a Data Scientist with over 2 years of experience, working in R&D on both national and international projects. I also have hands-on experience in project management and coordination, particularly in fields such as aerospace and Air Traffic Management (ATM), energy, tourism, and more. Passionate about this field, I enjoy challenges and innovation as they’re always an opportunity to learn and grow.

As a highlight, I hold a B2 level in English (FCE) and was awarded Second Prize for Best Master’s Thesis by the Complutense University of Madrid (UCM) in the Master’s in Big Data & Business Analytics where I also graduated with honors (final grade: 9.77/10)."
company_init_1;" ";" "	
company_title_1;Data Scientist - Talento Corporativo (Ene. 2024);Data Scientist - Talento Corporativo (Jan. 2024)	
